,pointA_latitude,pointA_longitude,pointB_latitude,pointB_longitude,path_segment_ID,sub_segment_length
6652,-35.2320866453777,149.11913389931294,-35.232090658564445,149.11908134412238,r3dp961npxj2c3r0jr3dp961nnqq0g7nwj,4.794215165929832
6653,-35.232090658564445,149.11908134412238,-35.232098098948526,149.11897634278287,r3dp961nnqq0g7nwjr3dp961n5uzu6nbvj,9.572717418494449
6660,-35.23205371092845,149.11862802131668,-35.23202102595314,149.11854372687623,r3dp960y7vhj6b00vr3dp960y9gm0prjjv,8.475012012680802
6661,-35.23202102595314,149.11854372687623,-35.232011190820394,149.11850631169685,r3dp960y9gm0prjjvr3dp960y9j16fssfd,3.569927262889832
6664,-35.23200915443079,149.11846577639307,-35.23201286559923,149.11834791832396,r3dp960y8j7p53q1er3dp960wtkg0zhzs7,10.712592020931911
6665,-35.23201286559923,149.11834791832396,-35.232013698977894,149.11802223080988,r3dp960wtkg0zhzs7r3dp960qtu87ujbcz,29.581215118655347
6666,-35.232013698977894,149.11802223080988,-35.23201172663139,149.1179100770587,r3dp960qtu87ujbczr3dp960qehuxxyq18,10.188897858936741
6669,-35.23201446174816,149.11777447779272,-35.23202591208394,149.11771935111793,r3dp960nxurxkkjnxr3dp960nwdqe143r2,5.166312297623826
6670,-35.23202591208394,149.11771935111793,-35.23205045449201,149.1176376594563,r3dp960nwdqe143r2r3dp960nkvc8ev9ss,7.905716955492133
6671,-35.23205045449201,149.1176376594563,-35.23207119455905,149.11757496579557,r3dp960nkvc8ev9ssr3dp960n73fugyegu,6.143528204889263
6709,-35.202781495211454,149.03823590718068,-35.20277639959654,149.03825028985037,r39zxrw2ftgku4nnyr39zxrw2fyy55quhf,1.42434749725714
6710,-35.20277639959654,149.03825028985037,-35.20277193494932,149.03826434332663,r39zxrw2fyy55quhfr39zxrw2gr8tfensg,1.3700010931451374
6711,-35.20277193494932,149.03826434332663,-35.20276738069649,149.0382762006667,r39zxrw2gr8tfensgr39zxrw35893j8krb,1.1904336578991002
6712,-35.20276738069649,149.0382762006667,-35.20275723585459,149.03829936594946,r39zxrw35893j8krbr39zxrw3h46tw3h0s,2.3880138910040696
6713,-35.20275723585459,149.03829936594946,-35.202753899390565,149.03830672170807,r39zxrw3h46tw3h0sr39zxrw3h701mvut5,0.7644059063367784
6714,-35.202753899390565,149.03830672170807,-35.20274993202206,149.0383141321446,r39zxrw3h701mvut5r39zxrw3h7v9nenz7,0.8049575927454137
6715,-35.20274993202206,149.0383141321446,-35.20274204253077,149.03832818439568,r39zxrw3h7v9nenz7r39zxrw3hv20nj0rw,1.5491178873291773
6724,-35.19926592584185,149.03850109274538,-35.19921293857482,149.03865666092173,r39zz2nt2v305b0xdr39zz2ntsrjh5fbdg,15.314206095205671
6725,-35.20232487950493,149.0347451687817,-35.20249389854268,149.03459956540354,r39zxreg9702xumv3r39zxredtgebmsy3u,22.98337844222932
6826,-35.41856658183723,149.1298872735306,-35.4186300468612,149.1295073672029,r3dn981pfhxsdurmcr3dn980z92u641cbm,35.14189601887639
6837,-35.418617902300284,149.1292580336742,-35.418608917681134,149.12923000055835,r3dn980xee46s8p25r3dn980xduv2pg49v,2.7296732845743525
6838,-35.418608917681134,149.12923000055835,-35.418603300264984,149.12921452354283,r3dn980xduv2pg49vr3dn980xdtccwe35n,1.5352912337599822
6839,-35.418603300264984,149.12921452354283,-35.418598268489276,149.12919921254473,r3dn980xdtccwe35nr3dn980xdnwx95y7r,1.4960068597404483
6840,-35.418598268489276,149.12919921254473,-35.41858644735005,149.12916875309207,r3dn980xdnwx95y7rr3dn980xc2zy4km5q,3.0571563863406093
6841,-35.41858644735005,149.12916875309207,-35.41857858233415,149.12914771283656,r3dn980xc2zy4km5qr3dn980xc42jh3eyj,2.097616240652567
6853,-35.418357015206404,149.128780155565,-35.4183531031844,149.1287716723101,r3dn982307wnf05dkr3dn98230hrwpdy68,0.8832720090188498
6854,-35.4183531031844,149.1287716723101,-35.41834968711574,149.12876291454708,r3dn98230hrwpdy68r3dn98230j14qwzm0,0.8798273870988832
6855,-35.41834968711574,149.12876291454708,-35.418344117256375,149.12874485040481,r3dn98230j14qwzm0r3dn9821pw5exwnkh,1.750174349522253
6856,-35.418344117256375,149.12874485040481,-35.418342414085686,149.12873554469164,r3dn9821pw5exwnkhr3dn9821pqkvcejpb,0.8642648226213858
6857,-35.418342414085686,149.12873554469164,-35.41834018016959,149.1287161092724,r3dn9821pqkvcejpbr3dn9821nyy71vtj7,1.7786192219991228
6858,-35.41834018016959,149.1287161092724,-35.4183390699209,149.1286995930849,r3dn9821nyy71vtj7r3dn9821nx1czcd5q,1.501737868691462
6859,-35.4183390699209,149.1286995930849,-35.41833852741169,149.12865571863898,r3dn9821nx1czcd5qr3dn9821jx1m0cjv5,3.976248200933007
6861,-35.41833746677851,149.1286345784531,-35.41843025920108,149.12816713315854,r3dn9821jp3e2e87cr3dn92rbdnhcyfdwc,43.597244778680945
6865,-35.25165985009385,149.10682956805957,-35.25166760757814,149.10687726122788,r3dp3n8k0yqd0dqhzr3dp3n8k4hf5f9w74,4.415825346752183
6866,-35.25166760757814,149.10687726122788,-35.251676628720034,149.10692259369512,r3dp3n8k4hf5f9w74r3dp3n8k555vurefm,4.236851733536101
6869,-35.251710727765406,149.1070513481092,-35.25183738667953,149.107235698443,r3dp3n87yhgfsd6rfr3dp3n8e4mjr52fuz,21.876378083402965
6870,-35.25183738667953,149.107235698443,-35.25219924307262,149.10768193597352,r3dp3n8e4mjr52fuzr3dp3n8chcf06zpd1,57.1040394244759
6871,-35.25219924307262,149.10768193597352,-35.252257183561795,149.10775067550838,r3dp3n8chcf06zpd1r3dp3n8bwqvqg4vw6,8.970425083193048
6872,-35.252257183561795,149.10775067550838,-35.252293201711645,149.1077905473943,r3dp3n8bwqvqg4vw6r3dp3n8bx25pfx9c2,5.39893321881376
6873,-35.252293201711645,149.1077905473943,-35.25232246859888,149.10782030297776,r3dp3n8bx25pfx9c2r3dp3n9024c32sce7,4.229779392783035
6880,-35.252578033965705,149.10802711576756,-35.25265233919735,149.10808730565267,r3dp3n3nug5kzk9kxr3dp3n3nqm23ekxqw,9.906453411259317
6891,-35.25290177407083,149.10824076963516,-35.253781855528636,149.1086302944297,r3dp3n3kcyfc9q8z4r3dp3n1xfftpzdnrk,104.05635243117635
6892,-35.253781855528636,149.1086302944297,-35.2541225019494,149.1087785444898,r3dp3n1xfftpzdnrkr3dp3n1ty75zc14em,40.19905172098581
6893,-35.2541225019494,149.1087785444898,-35.254440130646145,149.1089149012573,r3dp3n1ty75zc14emr3dp3n1u1813n9vc5,37.426059512343585
6895,-35.25454035511744,149.10896496158404,-35.25456792202211,149.10897927894862,r3dp3n1g6tqg1njqjr3dp3n1g701qyb12m,3.3295878780301145
6896,-35.25456792202211,149.10897927894862,-35.25458985788218,149.10899133701437,r3dp3n1g701qyb12mr3dp3n1g5k47ys8r7,2.673623517531382
6897,-35.25458985788218,149.10899133701437,-35.25461918016492,149.10900818365954,r3dp3n1g5k47ys8r7r3dp3n1fgwxhbrrx7,3.601494095007592
6898,-35.25461918016492,149.10900818365954,-35.254648456657264,149.10902590925906,r3dp3n1fgwxhbrrx7r3dp3n1fu1hnr6vyz,3.631545317104847
6904,-35.25478523540413,149.1091208435142,-35.2550013955125,149.1092944909961,r3dp3n1cyren2tt5br3dp3n40drksbp3eb,28.746029059532024
6905,-35.2550013955125,149.1092944909961,-35.25508470662329,149.10936205652632,r3dp3n40drksbp3ebr3dp3n405zyuh0r4k,11.11106302764051
6906,-35.25508470662329,149.10936205652632,-35.25509821621743,149.10937339025125,r3dp3n405zyuh0r4kr3dp3n40hjr76tt02,1.8208974188497595
6907,-35.25509821621743,149.10937339025125,-35.255106681687984,149.10938114684492,r3dp3n40hjr76tt02r3dp3n40h7v0gtxd1,1.1756370721074547
6908,-35.255106681687984,149.10938114684492,-35.255115687779906,149.10938906891622,r3dp3n40h7v0gtxd1r3dp3n40hd550y2mn,1.2330045818703106
6909,-35.255115687779906,149.10938906891622,-35.255124107777064,149.10939731989677,r3dp3n40hd550y2mnr3dp3n40hb90vxhkx,1.1991150908647508
6910,-35.255124107777064,149.10939731989677,-35.25515900164638,149.10943373146426,r3dp3n40hb90vxhkxr3dp3jfpvdh2f6qdb,5.097595588365118
6913,-35.255187139256414,149.1094662341915,-35.255290092241786,149.10959491502462,r3dp3jfpwku8czpzpr3dp3jfr13sdb6y1q,16.35774567758599
6918,-35.25544144362969,149.10983133405128,-35.25548419697205,149.1098995647027,r3dp3jfqnvkgcxeyur3dp3jftbmrsvwtkk,7.809135562463651
6919,-35.25548419697205,149.1098995647027,-35.25550278421314,149.109928265227,r3dp3jftbmrsvwtkkr3dp3jftc1vn46xdh,3.326109288746493
6920,-35.25550278421314,149.109928265227,-35.25552582616477,149.1099648273887,r3dp3jftc1vn46xdhr3dp3jftdj8kduhst,4.193569205529078
